held_out_device,held_out_study,held_out_family,same_mode_training_devices,inside_same_mode_ratio_envelope,fallback_regret_pp,fallback_cost_proxy,validation_aware_regret_pp,validation_aware_cost_proxy,policy,cost_optimization_accepted,selected_regret_pp,selected_cost_proxy,success_le_0_5pp
HfOx_02,10.1088/2634-4386/ac7327,HfOx,2,True,0.0,819200.0,0.1400000000000005,2560.0,COUNT1_PLUS_RATIO_ENVELOPE,True,0.1400000000000005,2560.0,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,4,True,0.03999999999999204,16384.0,0.2199999999999988,2560.0,COUNT1_PLUS_RATIO_ENVELOPE,True,0.2199999999999988,2560.0,True
ZnO_01,10.3390/electronics7120445,ZnO,0,False,0.060000000000002274,20480.0,0.2600000000000051,7680.0,COUNT1_PLUS_RATIO_ENVELOPE,False,0.060000000000002274,20480.0,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2,False,0.0,819200.0,0.3500000000000085,2560.0,COUNT2_ANY_RATIO,True,0.3500000000000085,2560.0,True
TiOx_04,10.1007/s42835-019-00107-y,TiOx,4,False,0.04999999999999716,819200.0,0.2199999999999988,2560.0,COUNT2_ANY_RATIO,True,0.2199999999999988,2560.0,True
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,2,False,0.04999999999999716,819200.0,0.3100000000000023,2560.0,COUNT2_ANY_RATIO,True,0.3100000000000023,2560.0,True
TaOx_01,10.1038/s41598-017-18329-3,TaOx,0,False,0.10000000000000853,102400.0,0.1400000000000005,2560.0,COUNT2_ANY_RATIO,False,0.10000000000000853,102400.0,True
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,2,False,0.04999999999999716,819200.0,0.5599999999999881,1280.0,COUNT2_ANY_RATIO,True,0.5599999999999881,1280.0,False
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,2,False,0.060000000000002274,819200.0,20.320000000000007,1280.0,COUNT2_ANY_RATIO,True,20.320000000000007,1280.0,False
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2,False,0.03999999999999204,819200.0,0.519999999999996,1280.0,COUNT2_ANY_RATIO,True,0.519999999999996,1280.0,False
HfOx_02,10.1088/2634-4386/ac7327,HfOx,2,True,0.0,819200.0,0.1400000000000005,2560.0,COUNT2_ANY_RATIO,True,0.1400000000000005,2560.0,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,4,True,0.03999999999999204,16384.0,0.2199999999999988,2560.0,COUNT2_ANY_RATIO,True,0.2199999999999988,2560.0,True
ZnO_01,10.3390/electronics7120445,ZnO,0,False,0.060000000000002274,20480.0,0.2600000000000051,7680.0,COUNT2_ANY_RATIO,False,0.060000000000002274,20480.0,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2,False,0.0,819200.0,0.3500000000000085,2560.0,COUNT1_ANY_RATIO,True,0.3500000000000085,2560.0,True
TiOx_04,10.1007/s42835-019-00107-y,TiOx,4,False,0.04999999999999716,819200.0,0.2199999999999988,2560.0,COUNT1_ANY_RATIO,True,0.2199999999999988,2560.0,True
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,2,False,0.04999999999999716,819200.0,0.3100000000000023,2560.0,COUNT1_ANY_RATIO,True,0.3100000000000023,2560.0,True
TaOx_01,10.1038/s41598-017-18329-3,TaOx,0,False,0.10000000000000853,102400.0,0.1400000000000005,2560.0,COUNT1_ANY_RATIO,False,0.10000000000000853,102400.0,True
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,2,False,0.04999999999999716,819200.0,0.5599999999999881,1280.0,COUNT1_ANY_RATIO,True,0.5599999999999881,1280.0,False
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,2,False,0.060000000000002274,819200.0,20.320000000000007,1280.0,COUNT1_ANY_RATIO,True,20.320000000000007,1280.0,False
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2,False,0.03999999999999204,819200.0,0.519999999999996,1280.0,COUNT1_ANY_RATIO,True,0.519999999999996,1280.0,False
HfOx_02,10.1088/2634-4386/ac7327,HfOx,2,True,0.0,819200.0,0.1400000000000005,2560.0,COUNT1_ANY_RATIO,True,0.1400000000000005,2560.0,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,4,True,0.03999999999999204,16384.0,0.2199999999999988,2560.0,COUNT1_ANY_RATIO,True,0.2199999999999988,2560.0,True
ZnO_01,10.3390/electronics7120445,ZnO,0,False,0.060000000000002274,20480.0,0.2600000000000051,7680.0,COUNT1_ANY_RATIO,False,0.060000000000002274,20480.0,True
HfZrOx_01,10.1002/pssr.202000524,HfZrOx,2,False,0.0,819200.0,0.3500000000000085,2560.0,NO_GATE_COST_ALWAYS,True,0.3500000000000085,2560.0,True
TiOx_04,10.1007/s42835-019-00107-y,TiOx,4,False,0.04999999999999716,819200.0,0.2199999999999988,2560.0,NO_GATE_COST_ALWAYS,True,0.2199999999999988,2560.0,True
TiOx_03,10.1016/j.spmi.2017.10.031,TiOx,2,False,0.04999999999999716,819200.0,0.3100000000000023,2560.0,NO_GATE_COST_ALWAYS,True,0.3100000000000023,2560.0,True
TaOx_01,10.1038/s41598-017-18329-3,TaOx,0,False,0.10000000000000853,102400.0,0.1400000000000005,2560.0,NO_GATE_COST_ALWAYS,True,0.1400000000000005,2560.0,True
TiOx_02_Au,10.1038/s41598-019-44607-3,TiOx,2,False,0.04999999999999716,819200.0,0.5599999999999881,1280.0,NO_GATE_COST_ALWAYS,True,0.5599999999999881,1280.0,False
TiOx_02_Ni,10.1038/s41598-019-44607-3,TiOx,2,False,0.060000000000002274,819200.0,20.320000000000007,1280.0,NO_GATE_COST_ALWAYS,True,20.320000000000007,1280.0,False
TiOx_02_Pt,10.1038/s41598-019-44607-3,TiOx,2,False,0.03999999999999204,819200.0,0.519999999999996,1280.0,NO_GATE_COST_ALWAYS,True,0.519999999999996,1280.0,False
HfOx_02,10.1088/2634-4386/ac7327,HfOx,2,True,0.0,819200.0,0.1400000000000005,2560.0,NO_GATE_COST_ALWAYS,True,0.1400000000000005,2560.0,True
HfOx_01,10.1109/TNANO.2024.3485213,HfOx,4,True,0.03999999999999204,16384.0,0.2199999999999988,2560.0,NO_GATE_COST_ALWAYS,True,0.2199999999999988,2560.0,True
ZnO_01,10.3390/electronics7120445,ZnO,0,False,0.060000000000002274,20480.0,0.2600000000000051,7680.0,NO_GATE_COST_ALWAYS,True,0.2600000000000051,7680.0,True
