device_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,8,13,13,,2,10,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,7,13,13,,2,10,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,4,13,13,,2,9,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,5,13,13,,2,10,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,6,13,13,,2,10,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,7,13,13,,2,9,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,8,13,13,,2,8,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,7,13,13,,2,8,96.11,0.12000000000000455
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,5,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,256,4,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,256,8,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,4,13,13,,2,9,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,4,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,5,13,13,,2,9,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,6,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,6,13,13,,2,9,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,6,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,5,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,7,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,4,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,7,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,7,13,13,,2,9,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,8,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,32,8,13,13,,2,9,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,256,5,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,16,8,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,256,6,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,256,7,13,13,,2,10,96.1,0.13000000000000966
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,5,13,13,,2,8,96.08,0.15000000000000568
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,6,13,13,,2,8,96.08,0.15000000000000568
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,7,13,13,,2,8,96.08,0.15000000000000568
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,64,8,13,13,,2,8,96.08,0.15000000000000568
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,128,4,13,13,,2,9,96.08,0.15000000000000568
TaOx_01,TaOx,DISCRETE_MULTILEVEL,DERIVED,7.0,SINGLE_DIFFERENTIAL_PAIR,DERIVED_DEVICE_STATE_CAP,absolute,128,5,13,13,,2,9,96.08,0.15000000000000568
