device_id,technology_family,conductance_mode,state_count_status,reported_conductance_states,mapping_strategy,precision_basis,parameter_source,crossbar_size,requested_weight_bits,effective_weight_levels,effective_conductance_levels,slices_per_branch,physical_cells_per_weight,adc_bits,accuracy,accuracy_loss
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,16,6,63,63,,2,8,96.32,-0.0899999999999892
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,128,6,63,63,,2,10,96.31,-0.0799999999999983
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,64,6,63,63,,2,9,96.31,-0.0799999999999983
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,16,6,63,63,,2,9,96.29,-0.060000000000002274
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,32,7,127,127,,2,6,96.29,-0.060000000000002274
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,128,6,63,63,,2,8,96.29,-0.060000000000002274
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,256,6,63,63,,2,10,96.29,-0.060000000000002274
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,32,6,63,63,,2,7,96.28,-0.04999999999999716
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,64,6,63,63,,2,10,96.28,-0.04999999999999716
TiOx_04,TiOx,GRADUAL_MULTILEVEL,NOT_REPORTED,,IDEALIZED_SINGLE_PAIR_GRADUAL,IDEALIZED_GRADUAL_MAPPING,normalized_from_ratio,32,6,63,63,,2,10,96.28,-0.04999999999999716
